시간,시스템 CPU 사용률 (%),프로세스 메모리 사용량 (MB),Current Thread 수,호출 건수,TPS,동시 사용자,ERROR 수,SQL 수,최대 TPS,프로세스 CPU사용률 (%)
8/28/2017 02:45,11.68,813,39.15,1973,32.88,71.03,199,37530,40.4,10.78
8/28/2017 02:46,11.26,766,37.22,1901,31.68,81.33,209,25124,38.4,10.57
8/28/2017 02:47,10.65,865,43.16,1755,29.25,75.06,240,23811,34.59,9.81
8/28/2017 02:48,11.48,981,48.91,1809,30.14,72.27,232,36924,36.79,10.55
8/28/2017 02:49,9.11,966,48.41,1469,24.48,62.34,199,19522,35.4,8.58
8/28/2017 02:50,11.15,1156,59.15,1708,28.46,77.18,221,24037,44.79,10.29
8/28/2017 02:51,11.08,1032,52.73,1711,28.51,66.77,202,36292,36.59,10.29
8/28/2017 02:52,11.51,927,46.71,1856,30.93,70.84,255,26284,38.2,10.71
8/28/2017 02:53,11.39,1217,60.71,1878,31.29,71.95,269,23927,51.4,10.75
8/28/2017 02:54,10.65,1032,51.01,1762,29.36,67.16,243,35257,37,9.9
8/28/2017 02:55,9.49,783,38.75,1465,24.41,100,212,18903,32.4,8.68
8/28/2017 02:56,9.67,742,37.43,1619,26.98,80.25,171,19325,32.59,8.82
8/28/2017 02:57,8.75,802,39.03,1277,21.28,75.11,189,29344,31.39,8.14
8/28/2017 02:58,7.45,712,35.15,1223,20.38,51.91,164,16125,27.6,6.7
8/28/2017 02:59,7.18,584,28.83,1169,19.48,64.56,138,15534,24.39,6.58
8/28/2017 03:00,7.74,812,41.5,1193,19.88,55.34,131,27162,30.6,6.83
8/28/2017 03:01,9.09,709,36,1623,27.04,64.34,147,18818,39,8.25
8/28/2017 03:02,9,748,38,1458,24.29,71.43,116,18176,32.79,8.42
8/28/2017 03:03,8.63,789,39.5,1225,20.41,44.26,148,30379,26.79,7.88
8/28/2017 03:04,7.45,617,31,1256,20.93,42.41,106,14319,28,6.78
8/28/2017 03:05,6.96,809,41.5,1151,19.18,70.19,127,13883,23.6,6.22
8/28/2017 03:06,7.61,774,39.5,1165,19.41,53.21,128,27795,25.79,6.7
8/28/2017 03:07,9.44,848,43.5,1526,25.43,49.86,186,23086,31.39,8.8
8/28/2017 03:08,8.23,727,36.15,1381,23.01,38.24,115,18121,31.2,7.6
8/28/2017 03:09,9.77,892,46.5,1604,26.73,46.66,154,34657,33,8.94
8/28/2017 03:10,9.71,1411,75.33,1667,27.78,64.17,154,21049,49.79,8.72
8/28/2017 03:11,9.01,1061,53.83,1500,25,76.34,167,19362,32.79,8.44
8/28/2017 03:12,8.43,764,38.33,1332,22.2,51.18,115,31052,29.2,7.85
8/28/2017 03:13,9.06,739,37.65,1456,24.26,58.81,171,19610,32.2,8.47
8/28/2017 03:14,9.11,895,44.78,1614,26.89,58.52,131,18790,34.4,8.51
8/28/2017 03:15,9.86,963,49.48,1660,27.66,56.86,141,32824,33,9.01
8/28/2017 03:16,7.58,660,32.97,1295,21.58,57.27,116,16721,34.59,7.03
8/28/2017 03:17,7.7,817,42.5,1239,20.64,48.9,135,16443,25.2,7.03
8/28/2017 03:18,8.35,688,34.72,1381,23.01,53.85,114,29551,29.6,7.88
8/28/2017 03:19,7.8,750,38.53,1330,22.16,67.39,161,17008,35.79,7.16
8/28/2017 03:20,7.66,1216,65.06,1267,21.11,56.6,132,16522,31.39,6.72
8/28/2017 03:21,8.23,787,40.11,1332,22.2,59.47,127,29985,30.2,7.73
8/28/2017 03:22,9.32,764,39.83,1602,26.7,49.37,150,20591,33.2,8.59
8/28/2017 03:23,8.69,626,31.78,1565,26.08,49.22,123,16738,34,7.83
8/28/2017 03:24,18.42,867,46.16,1405,23.41,55.17,125,30257,29.79,6.16
8/28/2017 03:25,9.86,757,38.79,1463,24.38,57.03,154,18444,32,7.81
8/28/2017 03:26,9.07,764,38.79,1534,25.56,50.18,129,19820,33,8.46
8/28/2017 03:27,9.01,926,46.98,1455,24.25,48.27,158,31877,32.59,8.24
8/28/2017 03:28,8.46,757,37.34,1413,23.54,64.2,140,19073,27.79,7.83
8/28/2017 03:29,7.81,965,49.2,1413,23.54,57.76,123,16744,31,7.18
8/28/2017 03:30,8.86,1054,53.95,1312,21.86,63.42,151,31870,34,7.96
8/28/2017 03:31,7.91,734,36.96,1338,22.29,53.25,141,16883,31.6,7.36
8/28/2017 03:32,9.08,785,39.79,1547,25.78,49.03,131,19325,33.79,8.39
8/28/2017 03:33,8.85,758,38.49,1472,24.53,43.09,129,31561,31.6,8.19
8/28/2017 03:34,7.09,663,33.5,1180,19.66,44.3,103,15556,26.39,6.63
8/28/2017 03:35,7.12,536,27.03,1221,20.35,58.06,97,14591,28,6.43
8/28/2017 03:36,8.01,552,27.86,1267,21.11,46.24,135,29854,25.79,7.47
8/28/2017 03:37,7.22,621,30.79,1215,20.25,50.32,116,15774,28.6,6.71
8/28/2017 03:38,7.18,663,33.33,1163,19.38,38.65,133,16537,27.6,6.55
8/28/2017 03:39,8.23,728,36.72,1157,19.28,46.42,132,31028,29.6,7.65
8/28/2017 03:40,7.1,749,38.53,1103,18.38,49.65,132,14723,29.6,6.18
8/28/2017 03:41,7.77,785,41.13,1297,21.61,60.42,166,17690,26.79,6.9
8/28/2017 03:42,8.58,720,37.26,1342,22.36,49.85,146,30249,32.2,7.73
8/28/2017 03:43,9.41,694,35.36,1578,26.29,50.85,171,20567,35.59,8.77
8/28/2017 03:44,9.08,590,28.76,1385,23.08,43.94,134,19540,33.2,8.56
8/28/2017 03:45,7.56,630,31.46,1124,18.73,56.66,127,28454,25.6,6.79
8/28/2017 03:46,7.05,673,34.33,1147,19.11,40.45,112,15400,24,6.52
8/28/2017 03:47,6.73,635,31.93,1126,18.76,49.16,108,13645,25.39,5.96
8/28/2017 03:48,7.01,746,37.53,1075,17.91,41.71,101,26875,23.2,6.34
8/28/2017 03:49,6.48,538,26.93,1023,17.04,53.07,104,14665,20.2,5.92
8/28/2017 03:50,6.72,836,43.58,1056,17.6,59.72,104,13652,28,5.92
8/28/2017 03:51,7.56,705,35.53,1162,19.36,40.94,120,27640,24.79,6.86
8/28/2017 03:52,7.62,760,39.15,1360,22.66,37.58,133,15054,29,6.87
8/28/2017 03:53,8.09,874,45.59,1296,21.6,44.16,154,18328,29.79,7.13
8/28/2017 03:54,7.32,753,38.76,1191,19.85,50.29,115,27561,25.39,6.61
8/28/2017 03:55,7.56,739,37.33,1257,20.95,51.18,121,16002,26.79,6.85
